Ma don,Ngay,Khach hang,San pham,Gia tri (trieu),Trang thai
DH001,2026-03-02,Cong ty Minh Long,Goi Cao cap,120,Da thanh toan
DH002,2026-03-04,Cua hang Hai Nam,Goi Tieu chuan,35,Da thanh toan
DH003,2026-03-05,Cong ty An Phat,Goi Cao cap,120,Cho thanh toan
DH004,2026-03-09,Nha hang Sen Vang,Goi Tieu chuan,35,Da thanh toan
DH005,2026-03-11,Cong ty Dai Tin,Goi Cao cap,120,Cho thanh toan
DH006,2026-03-15,Cong ty Minh Long,Goi Tieu chuan,35,Da thanh toan
DH007,2026-03-18,Cua hang Hai Nam,Goi Cao cap,120,Huy
DH008,2026-03-22,Cong ty An Phat,Goi Tieu chuan,35,Da thanh toan
DH009,2026-03-25,Nha hang Sen Vang,Goi Cao cap,120,Da thanh toan
DH010,2026-03-28,Cong ty Dai Tin,Goi Tieu chuan,35,Cho thanh toan
